documento,resultado
44.069.279/0001-35,CNPJ encontrado
30.660.811/0001-80,CNPJ encontrado
49.121.939/0001-01,CNPJ encontrado
35.227.948/0001-69,CNPJ encontrado
48.745.669/0001-39,CNPJ encontrado
36.923.086/0001-71,CNPJ encontrado
23.367.856/0001-03,CNPJ encontrado
23.205.307/0001-24,CNPJ encontrado
35.906.892/0001-79,CNPJ encontrado
01.921.148/0001-21,CNPJ encontrado
24.126.180/0001-10,CNPJ encontrado
28.803.916/0001-07,CNPJ encontrado
03.702.030/0001-38,CNPJ encontrado
43.028.459/0001-06,CNPJ encontrado
36.325.064/0001-00,CNPJ encontrado
27.879.140/0001-38,CNPJ encontrado
28.237.795/0001-75,CNPJ encontrado
42.278.359/0001-75,CNPJ encontrado
33.503.499/0001-09,CNPJ encontrado
36.957.831/0001-01,CNPJ encontrado
36.700.463/0001-03,CNPJ encontrado
24.408.194/0001-27,CNPJ encontrado
29.580.571/0001-24,CNPJ encontrado
30.192.427/0001-08,CNPJ encontrado
21.178.738/0001-13,CNPJ encontrado
41.819.602/0001-52,CNPJ encontrado
41.870.425/0001-39,CNPJ encontrado
41.064.028/0001-70,CNPJ encontrado
39.744.581/0001-01,CNPJ encontrado
31.789.289/0001-01,CNPJ encontrado
38.925.260/0001-40,CNPJ encontrado
32.661.124/0001-04,CNPJ encontrado
36.240.563/0001-02,CNPJ encontrado
36.630.249/0001-28,CNPJ encontrado
40.176.198/0001-83,CNPJ encontrado
40.199.570/0001-77,CNPJ encontrado
31.740.105/0001-00,CNPJ encontrado
06.217.065/0001-70,CNPJ nao encontrado
18.361.124/0001-68,CNPJ nao encontrado
35.977.520/0001-33,CNPJ nao encontrado
42.370.564/0001-66,CNPJ nao encontrado
22.122.408/0001-79,CNPJ nao encontrado
48.700.854/0001-07,CNPJ nao encontrado
34.640.327/0001-40,CNPJ nao encontrado
05.540.099/0001-38,CNPJ nao encontrado
72.943.772/0001-78,CNPJ nao encontrado
20.314.693/0001-02,CNPJ nao encontrado
27.361.282/0001-09,CNPJ nao encontrado
36.879.175/0001-68,CNPJ nao encontrado
26.352.387/0001-39,CNPJ nao encontrado
